runName,start_time,m_test_roc_auc,m_test_fp,m_test_f1,m_test_tn,m_test_precision,m_test_brier,m_test_accuracy,m_test_pr_auc,m_test_fn,m_test_tp,m_test_threshold,m_test_balanced_accuracy,m_test_recall,m_val_f1,m_val_roc_auc,m_val_tp,m_val_pr_auc,m_val_precision,m_val_recall,m_val_balanced_accuracy,m_val_tn,m_val_fn,m_val_brier,m_val_threshold,m_val_accuracy,m_val_fp,m_cv_f1_mean,m_cv_f1_std,m_rank,p_threshold,p_calibration,p_model,p_selected_on,p_clf__n_jobs,p_clf__booster,p_clf__validate_parameters,p_clf__max_leaves,p_clf__max_delta_step,p_clf__grow_policy,p_clf__reg_alpha,p_clf__importance_type,p_clf__colsample_bytree,p_clf__gamma,p_clf__eval_metric,p_clf__multi_strategy,p_split,p_clf__missing,p_n_train_rows,p_clf__monotone_constraints,p_clf__learning_rate,p_clf__random_state,p_clf__callbacks,p_clf__min_child_weight,p_clf__subsample,p_clf__reg_lambda,p_clf__verbosity,p_clf__enable_categorical,p_clf__sampling_method,p_clf__device,p_clf__colsample_bynode,p_n_features,p_clf__objective,p_clf__interaction_constraints,p_clf__max_bin,p_clf__num_parallel_tree,p_clf__feature_types,p_clf__feature_weights,p_clf__tree_method,p_clf__n_estimators,p_clf__colsample_bylevel,p_clf__base_score,p_clf__scale_pos_weight,p_random_state,p_clf__early_stopping_rounds,p_clf__max_cat_to_onehot,p_clf__max_depth,p_clf__max_cat_threshold,p_clf__ccp_alpha,p_clf__class_weight,p_clf__min_weight_fraction_leaf,p_clf__max_leaf_nodes,p_clf__min_samples_leaf,p_clf__verbose,p_clf__warm_start,p_clf__min_impurity_decrease,p_clf__monotonic_cst,p_clf__criterion,p_clf__max_samples,p_clf__max_features,p_clf__min_samples_split,p_clf__bootstrap,p_clf__oob_score,p_clf__tol,p_clf__dual,p_clf__intercept_scaling,p_clf__max_iter,p_clf__penalty,p_clf__l1_ratio,p_clf__solver,p_clf__fit_intercept,p_clf__C,p_clf__constant,p_clf__strategy,p_search,p_cv
majority_baseline,2026-08-09 18:07:55.257000+00:00,,,,,,,,,,,,,,0.0,0.5,0.0,0.2021656354117087,0.0,0.0,0.5,13410.0,3398.0,0.2021656354117087,0.5,0.7978343645882913,0.0,,,,,,majority_baseline,,,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,None,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,most_frequent,,
logistic_regression,2026-08-09 18:08:00.664000+00:00,,,,,,,,,,,,,,0.4496587030716723,0.7321084714919817,2635.0,0.36959161463054496,0.3166306176399904,0.7754561506768688,0.6756848240334381,7723.0,763.0,0.21379132989641522,0.5251473766743833,0.616254164683484,5687.0,,,,,,logistic_regression,,None,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,balanced,,,,0,False,,,,,,,,,0.0001,False,1,2000,deprecated,0.0,lbfgs,True,1.0,,,,
random_forest,2026-08-09 18:08:18.323000+00:00,,,,,,,,,,,,,,0.45393104628283,0.7419415574981817,2653.0,0.40084058239746395,0.3199855264744904,0.7807533843437316,0.6801604356468844,7772.0,745.0,0.20869866233876583,0.5292361547607748,0.6202403617325083,5638.0,,,,,,random_forest,,-1,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,300,,,,42,,,12,,0.0,balanced,0.0,None,20,0,False,0.0,None,gini,None,sqrt,2,True,False,,,,,,,,,,,,,
xgboost,2026-08-09 18:08:26.759000+00:00,,,,,,,,,,,,,,0.4567878677142335,0.7462311580396241,2500.0,0.4128548698583778,0.33121356650768413,0.7357268981753973,0.679645701138407,8362.0,898.0,0.20414893329143524,0.5297503432352566,0.6462398857686816,5048.0,,,,,,xgboost,,-1,None,None,None,None,None,None,None,0.9,None,logloss,None,GroupShuffleSplit on patient_id 70/15/15,nan,76957,None,0.05,42,None,None,0.9,None,None,True,None,None,None,23,binary:logistic,None,None,None,None,None,None,400,None,None,3.9496398250578855,42,None,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_TEST,2026-08-09 18:08:27.260000+00:00,0.7550327691502665,4893.0,0.4594720641731182,8493.0,0.33482871125611746,0.20116077363491058,0.6540505044474957,0.42119528241002535,902.0,2463.0,0.5297503432352566,0.6832076781112821,0.7319465081723625,,,,,,,,,,,,,,,,,0.5297503432352566,,xgboost,validation F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
majority_baseline,2026-08-09 18:11:44.312000+00:00,,,,,,,,,,,,,,0.0,0.5,0.0,0.2021656354117087,0.0,0.0,0.5,13410.0,3398.0,0.2021656354117087,0.5,0.7978343645882913,0.0,,,,,,majority_baseline,,,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,None,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,most_frequent,,
logistic_regression,2026-08-09 18:11:50.553000+00:00,,,,,,,,,,,,,,0.4496587030716723,0.7321084714919817,2635.0,0.36959161463054496,0.3166306176399904,0.7754561506768688,0.6756848240334381,7723.0,763.0,0.21379132989641522,0.5251473766743833,0.616254164683484,5687.0,,,,,,logistic_regression,,None,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,balanced,,,,0,False,,,,,,,,,0.0001,False,1,2000,deprecated,0.0,lbfgs,True,1.0,,,,
random_forest,2026-08-09 18:12:04.767000+00:00,,,,,,,,,,,,,,0.45393104628283,0.7419415574981817,2653.0,0.40084058239746395,0.3199855264744904,0.7807533843437316,0.6801604356468844,7772.0,745.0,0.2086986623387658,0.5292361547607748,0.6202403617325083,5638.0,,,,,,random_forest,,-1,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,300,,,,42,,,12,,0.0,balanced,0.0,None,20,0,False,0.0,None,gini,None,sqrt,2,True,False,,,,,,,,,,,,,
xgboost,2026-08-09 18:12:13.937000+00:00,,,,,,,,,,,,,,0.4567878677142335,0.7462311580396241,2500.0,0.4128548698583778,0.33121356650768413,0.7357268981753973,0.679645701138407,8362.0,898.0,0.20414893329143524,0.5297503432352566,0.6462398857686816,5048.0,,,,,,xgboost,,-1,None,None,None,None,None,None,None,0.9,None,logloss,None,GroupShuffleSplit on patient_id 70/15/15,nan,76957,None,0.05,42,None,None,0.9,None,None,True,None,None,None,23,binary:logistic,None,None,None,None,None,None,400,None,None,3.9496398250578855,42,None,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
majority_baseline,2026-08-09 18:12:40.450000+00:00,,,,,,,,,,,,,,0.0,0.5,0.0,0.2021656354117087,0.0,0.0,0.5,13410.0,3398.0,0.2021656354117087,0.5,0.7978343645882913,0.0,,,,,,majority_baseline,,,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,None,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,most_frequent,,
logistic_regression,2026-08-09 18:12:46.545000+00:00,,,,,,,,,,,,,,0.4496587030716723,0.7321084714919817,2635.0,0.36959161463054496,0.3166306176399904,0.7754561506768688,0.6756848240334381,7723.0,763.0,0.21379132989641522,0.5251473766743833,0.616254164683484,5687.0,,,,,,logistic_regression,,None,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,balanced,,,,0,False,,,,,,,,,0.0001,False,1,2000,deprecated,0.0,lbfgs,True,1.0,,,,
random_forest,2026-08-09 18:13:00.098000+00:00,,,,,,,,,,,,,,0.45393104628283,0.7419415574981817,2653.0,0.40084058239746395,0.3199855264744904,0.7807533843437316,0.6801604356468844,7772.0,745.0,0.2086986623387658,0.5292361547607748,0.6202403617325083,5638.0,,,,,,random_forest,,-1,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,300,,,,42,,,12,,0.0,balanced,0.0,None,20,0,False,0.0,None,gini,None,sqrt,2,True,False,,,,,,,,,,,,,
xgboost,2026-08-09 18:13:09.275000+00:00,,,,,,,,,,,,,,0.4567878677142335,0.7462311580396241,2500.0,0.4128548698583778,0.33121356650768413,0.7357268981753973,0.679645701138407,8362.0,898.0,0.20414893329143524,0.5297503432352566,0.6462398857686816,5048.0,,,,,,xgboost,,-1,None,None,None,None,None,None,None,0.9,None,logloss,None,GroupShuffleSplit on patient_id 70/15/15,nan,76957,None,0.05,42,None,None,0.9,None,None,True,None,None,None,23,binary:logistic,None,None,None,None,None,None,400,None,None,3.9496398250578855,42,None,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
majority_baseline,2026-08-09 18:13:48.787000+00:00,,,,,,,,,,,,,,0.0,0.5,0.0,0.2021656354117087,0.0,0.0,0.5,13410.0,3398.0,0.2021656354117087,0.5,0.7978343645882913,0.0,,,,,,majority_baseline,,,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,None,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,most_frequent,,
